station_no	station_name
3	중랑센터
5	상암센터 정비실
10	위트콤
101	(구)합정동 주민센터
102	망원역 1번출구 앞
103	망원역 2번출구 앞
104	합정역 1번출구 앞
105	합정역 5번출구 앞
106	합정역 7번출구 앞
107	신한은행 서교동금융센터점 앞
108	서교동 사거리
109	제일빌딩 앞
111	상수역 2번출구 앞
112	극동방송국 앞
114	홍대입구역 8번출구 앞
115	마스타 빌딩 앞
116	일진아이윌아파트 옆
117	홍은사거리
118	광흥창역 2번출구 앞
119	서강나루 공원
120	신수동 사거리
121	마포소방서 앞
122	신성기사식당 앞
123	문화촌 공원
124	서강대 정문 건너편
125	서강대 남문 옆
126	서강대 후문 옆
127	현대벤처빌 앞
128	신촌역(2호선) 1번출구 옆
129	신촌역(2호선) 6번출구 옆
130	신촌역(2호선) 7번출구 앞
131	증산2교
133	해담는다리
134	연세로 명물길
135	명물길 원형무대 앞
136	대흥동 주민센터
137	NH농협 신촌지점 앞
138	신촌동 제1공영주차장 앞
139	연세대 정문 건너편
140	이화여대 후문
141	연대 대운동장 옆
142	아현역 4번출구 앞
143	공덕역 2번출구
144	공덕역 8번출구
145	공덕역 5번출구
146	마포역 2번출구 뒤
147	마포역 4번출구 뒤
148	용강동 주민센터 앞
150	서강대역 2번출구 앞
151	망원1동주민센터
152	마포구민체육센터 앞
153	성산2교 사거리
154	마포구청역
155	가좌역1 번출구 뒤
156	서울서부지방법원 앞
157	애오개역 4번출구 앞
158	독립문 어린이 공원
159	이대역 4번 출구
160	북아현동 가구거리
161	무악재역1번 출구
162	봉원고가차도 밑
163	명지전문대학교 정문 앞
164	북가좌1동 주민센터
165	중앙근린공원
166	가재울 초등학교
167	연가초등학교 옆
169	북가좌 삼거리
170	가재울 뉴타운 주유소 옆
171	임광빌딩 앞
173	서대문역 8번출구 앞
175	홍연2교옆
176	명지대학교 도서관
177	북가좌 초등학교
178	증산3교 앞
179	가좌역 4번출구 앞
180	충정로역 7번출구 아래
181	망원초록길 입구
182	망원2빗물펌프장 앞
183	하늘채코오롱아파트 건너편
184	SK망원동주유소 건너편
185	마포 신수공원 앞
186	월드컵공원
188	홍은동 정원여중 입구
191	서우빌딩(바른학원)
192	연서어린이공원
194	증산교 앞
195	모래내고가차도
196	연희교차로 인근
198	충정2교
199	서울 월드컵 경기장
200	국회의원회관
201	진미파라곤 앞
202	국민일보 앞
203	국회의사당역 3번출구 옆
204	국회의사당역 5번출구 옆
205	산업은행 앞
206	KBS 앞
207	여의나루역 1번출구 앞
209	유진투자증권빌딩 앞
210	IFC몰
211	여의도역 4번출구 옆
212	여의도역 1번출구 옆
213	KT앞
214	금융감독원 앞
215	여의도고교 앞
217	NH농협은행 앞
218	증권거래소 앞
219	롯데캐슬엠파이어 옆
220	미성아파트 A동 앞
221	여의도초교 앞
222	시범아파트버스정류장 옆
223	진주아파트상가 앞
224	롯데캐슬 앞
225	앙카라공원 앞
226	샛강역 1번출구 앞
227	양평2나들목 보행통로 입구
228	선유도역 3번출구 앞
229	양평1 보행육교 앞
230	영등포구청역 1번출구
231	남부고용노동지청 남측
232	양평우림 이비즈센타 앞
233	YP 센터 앞
234	영등포구민체육센터 앞
235	신길동 우리은행 옆
236	문래동자이아파트 앞
237	보라매 두산위브 건너편
238	제2구민체육센타 앞
239	유스호스텔 앞
240	문래역 4번출구 앞
241	신길우성1차아파트 앞 공원
242	신길선원가와인아파트 앞
243	이앤씨드림타워 앞
244	영등포삼환아파트 앞
245	삼성생명 당산사옥 앞
247	당산역 10번출구 앞
248	초원아파트 앞
249	여의도중학교 옆
250	대림아파트 사거리
251	서울지방병무청 버스정류장
252	보라매역4번출구
253	신풍역 5번출구 인근
254	도림신협 앞
255	도림사거리
256	동아에코빌입구
257	신길삼거리(우리은행)
258	신길역3번출구
259	대방역6번출구
260	여의도 마리나선착장 앞
262	영문초등학교 사거리
263	근로자회관 사거리
264	교보생명보험 앞
265	영등포유통상가 사거리
266	영등포청과시장 사거리
267	삼성화재 사옥 옆
268	그랜드컨벤션센터 앞
270	증권거래소후문교차로
271	샛강생태공원방문자센터 앞
272	당산육갑문
274	영등포역지하쇼핑센타 5번출구
275	신동아아파트
276	SK 영등포주유소
277	영등포뉴타운지하상가 2번게이트
278	쌍용플레티넘오피스텔
279	영등포 푸르지오 아파트
280	양평동6차현대아파트 앞
281	신동아아파트 앞
282	신한은행
283	아크로타워 스퀘어(영등포시장)
284	센트럴 푸르지오 시티 앞
285	대림3동사거리(하나은행)
286	우성아파트 교차로
287	영등포전화국사거리 (서강어린이공원)
288	쌍용예가(구청별관)
289	대림3동사거리
290	당산동 SK V1 빌딩
